CD14,CD15,IL,CD4,CD8,CD19,PLA,RE,TR,V1
8,8,8,8,8,8,8,8,8,GGACT
5,6,10,6,6,10,5,5,5,A4GNT
3,8,3,3,3,3,5,3,3,AAAS
8,10,8,8,8,8,8,8,8,AACS
8,6,6,6,8,8,5,6,6,AACSP1
10,8,10,10,10,10,8,11,10,NCEH1
8,8,6,8,8,8,5,11,11,NCEH1
6,10,8,6,6,8,10,6,6,AAK1
8,8,8,8,8,8,8,8,6,AAMP
6,8,5,6,6,8,8,5,5,AARS
5,10,3,3,3,5,5,3,3,AARS2
8,8,8,8,8,8,8,8,6,AASDH
6,10,6,8,8,8,8,6,6,AASDHPPT
8,6,8,8,8,8,8,8,8,AASDHPPT
5,5,5,5,5,5,10,10,5,AATF
6,6,6,6,6,10,5,6,6,AATK
3,3,3,5,5,5,3,3,3,AATK
5,2,10,10,10,5,12,11,6,ABAT
10,10,10,11,10,10,5,10,5,ABAT
10,8,3,10,5,5,5,5,3,ABCA1
12,3,12,3,3,3,12,12,2,ABCA7
10,10,5,6,6,10,8,5,5,ABCB10
5,10,5,5,5,5,8,5,5,ABCB6
6,9,10,8,8,8,10,6,6,ABCB9
10,6,6,10,10,10,8,6,6,ABCC10
3,5,3,3,3,3,3,3,3,ABCC3
5,10,5,5,5,5,8,5,10,ABCC4
5,8,12,10,10,10,8,3,3,ABCC4
6,8,3,10,10,10,12,3,3,ABCC5
5,8,5,5,5,5,12,5,5,ABCC5
3,2,8,6,6,8,9,6,6,ABCC6
5,6,2,3,3,5,3,12,2,ABCC6P2
10,8,5,10,10,5,8,10,10,ABCC9
3,5,12,10,6,10,10,2,2,ABCC9
3,5,12,10,10,10,10,2,2,ABCD3
5,10,12,10,5,8,8,12,3,ABCE1
2,2,2,2,2,2,2,2,2,ABCE1
2,2,2,2,2,2,2,2,2,ABCF1
2,2,2,2,2,2,2,2,2,ABCF1
2,2,2,2,2,2,2,2,2,ABCF2
12,5,12,12,12,3,12,12,3,ABCF2
3,2,9,3,3,9,2,3,5,ABCF3
5,5,3,11,10,10,8,3,3,ABCG1
5,5,5,5,5,5,12,5,5,ABCG1
3,5,3,5,3,5,12,3,3,ABCG1
2,2,12,12,12,2,12,12,2,ABHD10
12,3,3,3,12,3,10,3,5,ABHD11
5,8,10,5,10,10,6,10,10,ABHD12
8,8,8,11,6,8,8,6,6,ABHD12
8,8,8,8,8,8,8,8,8,ABHD12
5,5,10,10,10,10,8,11,10,ABHD13
12,6,3,10,10,10,3,12,3,ABHD13
10,5,6,11,10,10,5,11,11,ABHD14A
5,3,9,5,10,3,3,9,6,ABHD14B
8,8,8,8,8,8,8,8,8,ABHD15
12,2,12,12,12,3,9,3,3,ABHD2
5,3,5,5,5,5,5,5,5,ABHD2
6,6,6,11,10,10,8,6,6,ABHD3
5,10,6,10,10,10,5,6,6,ABHD4
6,10,6,11,10,10,8,11,11,ABHD5
12,2,12,12,12,2,6,12,2,ABHD6
5,5,5,3,3,3,12,5,5,ABHD8
12,3,12,12,12,3,6,3,3,EPHX3
10,10,10,5,5,5,10,10,10,ABI1
10,8,10,11,6,8,5,11,11,ABI2
3,3,5,10,5,5,6,5,5,ABI3
3,3,5,5,5,5,2,5,5,ABL1
5,10,3,10,10,10,10,3,3,ABL1
5,2,10,8,8,8,9,12,3,ABR
8,6,8,8,8,8,5,6,6,ABT1
5,5,10,10,10,5,8,10,11,ABTB1
8,8,8,8,8,8,10,8,11,ABTB1
8,8,8,8,8,8,5,8,8,ACAA1
5,10,8,11,5,10,8,8,8,ACAA2
12,2,3,12,12,3,10,3,3,ACACA
3,5,3,3,3,5,5,3,3,ACACA
3,6,3,12,3,3,3,5,5,ACAD10
3,5,5,3,3,5,3,5,5,ACAD8
6,8,6,11,6,8,8,6,6,ACAD8
6,8,8,6,6,10,5,8,8,ACAD9
3,6,3,12,12,3,12,3,3,ACADM
8,8,10,11,6,8,12,10,10,ACADS
6,10,6,11,6,10,8,11,11,ACADVL
3,5,5,5,5,3,10,3,5,ACADVL
6,6,10,11,6,8,12,11,11,ACAP1
8,6,10,6,8,8,5,11,11,ACAP2
3,3,6,5,5,10,5,6,11,ACAT1
6,10,10,11,6,10,8,11,10,ACAT2
6,5,6,10,10,10,5,6,6,ACBD3
6,5,6,11,6,10,3,6,6,ACBD4
3,5,12,5,5,5,3,3,3,ACBD5
12,8,12,12,12,3,5,12,2,ACBD6
12,2,2,12,12,2,12,12,2,ACCS
6,8,8,8,8,8,8,8,8,ACD
5,6,5,5,5,5,5,5,5,ACER2
8,10,6,8,8,8,8,6,6,ACER3
8,8,8,8,8,8,6,8,8,ACIN1
3,10,3,12,12,2,12,3,3,ACLY
12,3,6,11,8,8,3,6,6,ACLY
2,2,10,3,5,9,9,10,11,SDHAF3
8,8,6,8,8,8,8,11,6,SDHAF3
8,8,5,6,6,8,8,6,6,ACO1
12,2,2,12,2,2,2,2,2,ACO2
8,8,8,8,8,8,8,8,8,ACOT7
5,8,12,3,3,5,12,12,2,ACOT8
6,8,6,8,8,8,8,10,11,ACOX2
3,3,5,3,3,3,3,5,5,ACOX3
10,5,6,5,5,5,10,10,10,ACP1
6,10,8,11,6,8,8,8,8,ACP1
12,3,5,5,5,3,6,5,5,ACP2
5,3,1,5,3,5,3,11,6,ACP5
5,8,10,3,3,3,10,10,10,PXYLP1
12,2,2,2,2,2,2,2,2,PXYLP1
3,6,12,3,3,3,12,12,3,ACPP
5,8,2,10,10,5,10,12,2,ACPT
3,3,3,3,3,3,10,3,3,ACRBP
3,3,3,3,3,5,10,3,3,ACSF2
10,6,10,10,10,10,8,5,5,ACSL1
8,8,8,8,8,8,8,8,8,ACSL3
8,6,8,8,8,8,8,8,8,ACSL3
12,3,12,12,12,3,10,12,2,ACSL3
5,5,10,11,6,8,5,5,5,ACSL5
12,3,3,3,3,3,6,12,2,ACSL5
10,10,12,3,5,5,5,3,10,ACSM3
8,8,8,8,8,8,8,8,8,ACSS1
10,8,10,10,10,10,8,10,10,ACSS2
10,8,10,10,10,10,8,10,10,ACSS2
12,3,12,12,12,2,12,12,2,ACTA2
12,2,9,10,6,2,9,9,6,ACTB
12,2,9,12,12,2,9,9,9,ACTB
9,3,3,9,3,3,10,3,3,ACTB
8,8,8,8,8,8,8,8,8,ACTG1
8,8,8,8,8,8,5,8,8,ACTG1
5,3,5,3,5,5,6,5,5,ACTL6A
6,5,6,11,6,10,10,11,11,ACTN1
11,9,9,9,10,9,10,9,9,ACTN4
12,2,1,5,5,9,9,6,8,ACTR10
8,6,8,8,6,8,8,8,8,ACTR1A
5,5,5,3,3,3,10,5,5,ACTR1B
6,10,8,6,6,8,5,8,8,ACTR2
5,10,5,5,5,5,5,5,5,ACTR3
12,3,3,12,12,3,5,3,3,ACTR5
