CD14,CD15,CD19,CD4,CD8,IL,PLA,RE,TR,V1
3,-1,3,3,3,3,-1,9,13,GGACT
9,9,9,-1,-1,-1,-1,-1,-1,A4GNT
9,-1,-1,9,9,13,-1,9,15,AAAS
9,-1,9,9,9,9,-1,3,3,AACS
9,9,9,9,9,9,9,9,9,AACSP1
12,3,8,3,3,12,14,12,12,NCEH1
12,-1,3,9,13,8,-1,12,14,NCEH1
13,3,-1,8,12,3,-1,3,7,AAK1
12,9,8,8,8,12,-1,12,12,AAMP
14,3,14,14,15,15,14,14,14,AARS
13,-1,3,3,3,8,-1,3,3,AARS2
3,-1,8,8,8,9,-1,13,9,AASDH
8,3,3,8,8,3,-1,3,3,AASDHPPT
12,3,12,14,14,8,-1,3,7,AASDHPPT
8,12,8,8,12,8,-1,8,7,AATF
9,8,9,9,9,3,9,13,13,AATK
13,3,3,3,13,3,14,3,3,AATK
13,3,-1,-1,-1,3,9,13,13,ABAT
15,8,9,-1,9,3,14,13,13,ABAT
8,14,12,3,6,6,-1,12,14,ABCA1
13,12,3,3,13,9,-1,9,13,ABCA7
12,9,8,8,12,12,9,8,8,ABCB10
9,9,9,9,9,8,14,3,7,ABCB6
9,-1,3,9,13,8,-1,3,8,ABCB9
9,-1,-1,9,13,9,-1,9,9,ABCC10
15,-1,6,9,6,15,2,11,11,ABCC3
13,-1,3,3,3,3,11,3,3,ABCC4
13,-1,3,3,3,3,11,3,13,ABCC4
3,12,3,3,3,3,-1,3,3,ABCC5
13,8,3,3,3,9,12,3,3,ABCC5
9,-1,-1,-1,-1,-1,-1,-1,-1,ABCC6
9,9,9,9,9,9,9,13,3,ABCC6P2
9,-1,-1,9,-1,9,-1,9,9,ABCC9
9,9,-1,-1,-1,9,-1,9,9,ABCC9
3,9,3,3,3,14,9,12,14,ABCD3
12,-1,12,14,14,8,-1,6,6,ABCE1
12,-1,12,14,14,6,-1,3,3,ABCE1
8,3,8,8,12,12,-1,12,12,ABCF1
14,12,14,14,15,15,14,14,14,ABCF1
13,-1,9,3,13,13,-1,13,13,ABCF2
9,-1,9,9,13,9,-1,13,13,ABCF2
9,9,-1,9,9,13,-1,9,15,ABCF3
9,9,-1,-1,-1,9,9,9,-1,ABCG1
9,3,9,9,9,9,9,13,3,ABCG1
13,14,8,8,8,14,-1,14,14,ABCG1
8,-1,12,8,8,3,-1,3,3,ABHD10
9,-1,-1,-1,-1,9,-1,9,13,ABHD11
9,-1,-1,9,9,8,-1,8,8,ABHD12
9,-1,-1,9,9,3,-1,3,3,ABHD12
3,9,9,3,13,12,-1,8,8,ABHD12
9,9,-1,-1,-1,-1,-1,-1,-1,ABHD13
9,9,9,9,9,-1,-1,-1,-1,ABHD13
13,-1,3,8,12,3,-1,13,9,ABHD14A
3,-1,8,8,8,8,-1,8,8,ABHD14B
8,-1,8,8,12,8,-1,8,8,ABHD15
13,8,-1,9,-1,9,-1,9,9,ABHD2
3,12,9,9,9,3,9,3,3,ABHD2
8,14,3,8,8,12,-1,14,11,ABHD3
9,6,9,9,9,9,9,9,9,ABHD4
12,14,-1,9,9,8,9,3,8,ABHD5
8,9,8,3,3,15,-1,12,12,ABHD6
12,3,8,3,3,3,-1,3,3,ABHD8
9,-1,-1,-1,-1,-1,-1,-1,-1,EPHX3
12,14,12,14,14,12,12,12,12,ABI1
3,8,3,3,3,3,14,3,3,ABI2
12,-1,3,3,12,6,-1,13,15,ABI3
8,3,12,8,8,14,-1,14,14,ABL1
6,-1,9,9,9,-1,-1,-1,-1,ABL1
14,14,12,14,14,15,14,14,11,ABR
13,9,3,3,13,3,-1,13,13,ABT1
14,11,12,8,12,8,11,3,3,ABTB1
3,14,9,9,9,-1,-1,-1,-1,ABTB1
12,12,8,8,8,14,-1,14,14,ACAA1
12,-1,12,14,14,7,-1,11,2,ACAA2
3,-1,3,3,3,8,-1,8,7,ACACA
13,-1,3,3,3,8,-1,8,7,ACACA
3,3,3,3,13,8,-1,3,8,ACAD10
8,8,8,8,8,12,14,8,12,ACAD8
9,-1,-1,9,9,-1,-1,-1,9,ACAD8
8,-1,4,4,4,8,-1,8,8,ACAD9
12,9,12,8,12,15,14,12,14,ACADM
9,-1,-1,-1,-1,12,-1,8,12,ACADS
11,14,14,14,15,11,12,11,2,ACADVL
8,8,3,3,3,14,9,14,14,ACADVL
3,12,12,14,14,6,-1,9,15,ACAP1
12,14,12,8,12,3,-1,3,8,ACAP2
12,-1,12,14,14,14,-1,14,11,ACAT1
8,3,12,14,12,12,-1,12,14,ACAT2
14,12,14,14,12,12,9,12,12,ACBD3
9,-1,9,9,9,9,-1,9,9,ACBD4
9,-1,-1,-1,-1,9,-1,9,9,ACBD5
13,-1,3,3,3,13,-1,9,9,ACBD6
3,6,3,9,13,8,12,3,3,ACCS
8,8,8,8,12,3,9,13,13,ACD
13,9,8,3,3,9,-1,13,9,ACER2
13,-1,-1,-1,-1,9,-1,9,13,ACER3
3,12,6,3,3,8,-1,8,7,ACIN1
14,14,14,14,14,7,14,14,14,ACLY
14,12,12,14,14,14,9,12,12,ACLY
3,3,8,8,8,3,-1,13,3,SDHAF3
