"MassParameter_1","MassParameter_2","MassParameter_3","MassParameter_4", "Phi_12","Phi_13","Phi_14","Phi_23","Phi_24","Phi_34", "Dataset1_7320370X","Dataset1_4640576X","Dataset1_2060465X","Dataset1_3140445X","Dataset1_6960209X","Dataset1_5670435X","Dataset1_4880367X","Dataset1_5050575X","Dataset1_290402X","Dataset1_650753X","Dataset1_110382X","Dataset1_3450274X","Dataset1_5960343X","Dataset1_4120037X","Dataset1_4050070X","Dataset1_6480059X","Dataset1_2000100X","Dataset1_3170669X","Dataset1_4830100X","Dataset1_6180538X","Dataset1_6980482X","Dataset1_4900670X","Dataset1_1780762X","Dataset1_1780564X","Dataset1_5270386X","Dataset1_7210424X","Dataset1_7050332X","Dataset1_6200431X","Dataset1_270156X","Dataset1_2470259X","Dataset1_630753X","Dataset1_3830519X","Dataset1_940747X","Dataset1_6840148X","Dataset1_1170609X","Dataset1_1770753X","Dataset1_6900209X","Dataset1_2340598X","Dataset1_3170286X","Dataset1_1470601X","Dataset1_4120053X","Dataset1_1260017X","Dataset1_3870646X","Dataset1_2120259X","Dataset1_2480739X","Dataset1_10612X","Dataset1_2490446X","Dataset1_6770711X","Dataset1_2060452X","Dataset1_50735X","Dataset1_2680722X","Dataset1_2320356X","Dataset1_6560438X","Dataset1_2710114X","Dataset1_870626X","Dataset1_2940369X","Dataset1_990072X","Dataset1_50070X","Dataset1_650008X","Dataset1_6940358X","Dataset1_4570441X","Dataset1_3610259X","Dataset1_4060221X","Dataset1_2260131X","Dataset1_1500148X","Dataset1_6220543X","Dataset1_4900010X","Dataset1_7550431X","Dataset1_2470619X","Dataset1_3390544X","Dataset1_2100241X","Dataset1_620241X","Dataset1_630377X","Dataset1_3180398X","Dataset1_2570026X","Dataset1_540021X","Dataset1_4640136X","Dataset1_6330047X","Dataset1_1710594X","Dataset1_270519X","Dataset1_1690059X","Dataset1_2850162X","Dataset1_130021X","Dataset1_2230273X","Dataset1_270348X","Dataset1_2070037X","Dataset1_6280156X","Dataset1_5390246X","Dataset1_1240450X","Dataset1_7160369X","Dataset1_5390239X","Dataset1_3940754X","Dataset1_1230201X","Dataset1_6400333X","Dataset1_1030376X","Dataset1_4890722X","Dataset1_4040725X","Dataset1_3440343X","Dataset1_6370014X","Dataset1_940356X","Dataset1_6110167X","Dataset1_4860408X","Dataset2_7320370X","Dataset2_4640576X","Dataset2_2060465X","Dataset2_3140445X","Dataset2_6960209X","Dataset2_5670435X","Dataset2_4880367X","Dataset2_5050575X","Dataset2_290402X","Dataset2_650753X","Dataset2_110382X","Dataset2_3450274X","Dataset2_5960343X","Dataset2_4120037X","Dataset2_4050070X","Dataset2_6480059X","Dataset2_2000100X","Dataset2_3170669X","Dataset2_4830100X","Dataset2_6180538X","Dataset2_6980482X","Dataset2_4900670X","Dataset2_1780762X","Dataset2_1780564X","Dataset2_5270386X","Dataset2_7210424X","Dataset2_7050332X","Dataset2_6200431X","Dataset2_270156X","Dataset2_2470259X","Dataset2_630753X","Dataset2_3830519X","Dataset2_940747X","Dataset2_6840148X","Dataset2_1170609X","Dataset2_1770753X","Dataset2_6900209X","Dataset2_2340598X","Dataset2_3170286X","Dataset2_1470601X","Dataset2_4120053X","Dataset2_1260017X","Dataset2_3870646X","Dataset2_2120259X","Dataset2_2480739X","Dataset2_10612X","Dataset2_2490446X","Dataset2_6770711X","Dataset2_2060452X","Dataset2_50735X","Dataset2_2680722X","Dataset2_2320356X","Dataset2_6560438X","Dataset2_2710114X","Dataset2_870626X","Dataset2_2940369X","Dataset2_990072X","Dataset2_50070X","Dataset2_650008X","Dataset2_6940358X","Dataset2_4570441X","Dataset2_3610259X","Dataset2_4060221X","Dataset2_2260131X","Dataset2_1500148X","Dataset2_6220543X","Dataset2_4900010X","Dataset2_7550431X","Dataset2_2470619X","Dataset2_3390544X","Dataset2_2100241X","Dataset2_620241X","Dataset2_630377X","Dataset2_3180398X","Dataset2_2570026X","Dataset2_540021X","Dataset2_4640136X","Dataset2_6330047X","Dataset2_1710594X","Dataset2_270519X","Dataset2_1690059X","Dataset2_2850162X","Dataset2_130021X","Dataset2_2230273X","Dataset2_270348X","Dataset2_2070037X","Dataset2_6280156X","Dataset2_5390246X","Dataset2_1240450X","Dataset2_7160369X","Dataset2_5390239X","Dataset2_3940754X","Dataset2_1230201X","Dataset2_6400333X","Dataset2_1030376X","Dataset2_4890722X","Dataset2_4040725X","Dataset2_3440343X","Dataset2_6370014X","Dataset2_940356X","Dataset2_6110167X","Dataset2_4860408X","Dataset3_7320370X","Dataset3_4640576X","Dataset3_2060465X","Dataset3_3140445X","Dataset3_6960209X","Dataset3_5670435X","Dataset3_4880367X","Dataset3_5050575X","Dataset3_290402X","Dataset3_650753X","Dataset3_110382X","Dataset3_3450274X","Dataset3_5960343X","Dataset3_4120037X","Dataset3_4050070X","Dataset3_6480059X","Dataset3_2000100X","Dataset3_3170669X","Dataset3_4830100X","Dataset3_6180538X","Dataset3_6980482X","Dataset3_4900670X","Dataset3_1780762X","Dataset3_1780564X","Dataset3_5270386X","Dataset3_7210424X","Dataset3_7050332X","Dataset3_6200431X","Dataset3_270156X","Dataset3_2470259X","Dataset3_630753X","Dataset3_3830519X","Dataset3_940747X","Dataset3_6840148X","Dataset3_1170609X","Dataset3_1770753X","Dataset3_6900209X","Dataset3_2340598X","Dataset3_3170286X","Dataset3_1470601X","Dataset3_4120053X","Dataset3_1260017X","Dataset3_3870646X","Dataset3_2120259X","Dataset3_2480739X","Dataset3_10612X","Dataset3_2490446X","Dataset3_6770711X","Dataset3_2060452X","Dataset3_50735X","Dataset3_2680722X","Dataset3_2320356X","Dataset3_6560438X","Dataset3_2710114X","Dataset3_870626X","Dataset3_2940369X","Dataset3_990072X","Dataset3_50070X","Dataset3_650008X","Dataset3_6940358X","Dataset3_4570441X","Dataset3_3610259X","Dataset3_4060221X","Dataset3_2260131X","Dataset3_1500148X","Dataset3_6220543X","Dataset3_4900010X","Dataset3_7550431X","Dataset3_2470619X","Dataset3_3390544X","Dataset3_2100241X","Dataset3_620241X","Dataset3_630377X","Dataset3_3180398X","Dataset3_2570026X","Dataset3_540021X","Dataset3_4640136X","Dataset3_6330047X","Dataset3_1710594X","Dataset3_270519X","Dataset3_1690059X","Dataset3_2850162X","Dataset3_130021X","Dataset3_2230273X","Dataset3_270348X","Dataset3_2070037X","Dataset3_6280156X","Dataset3_5390246X","Dataset3_1240450X","Dataset3_7160369X","Dataset3_5390239X","Dataset3_3940754X","Dataset3_1230201X","Dataset3_6400333X","Dataset3_1030376X","Dataset3_4890722X","Dataset3_4040725X","Dataset3_3440343X","Dataset3_6370014X","Dataset3_940356X","Dataset3_6110167X","Dataset3_4860408X","Dataset4_7320370X","Dataset4_4640576X","Dataset4_2060465X","Dataset4_3140445X","Dataset4_6960209X","Dataset4_5670435X","Dataset4_4880367X","Dataset4_5050575X","Dataset4_290402X","Dataset4_650753X","Dataset4_110382X","Dataset4_3450274X","Dataset4_5960343X","Dataset4_4120037X","Dataset4_4050070X","Dataset4_6480059X","Dataset4_2000100X","Dataset4_3170669X","Dataset4_4830100X","Dataset4_6180538X","Dataset4_6980482X","Dataset4_4900670X","Dataset4_1780762X","Dataset4_1780564X","Dataset4_5270386X","Dataset4_7210424X","Dataset4_7050332X","Dataset4_6200431X","Dataset4_270156X","Dataset4_2470259X","Dataset4_630753X","Dataset4_3830519X","Dataset4_940747X","Dataset4_6840148X","Dataset4_1170609X","Dataset4_1770753X","Dataset4_6900209X","Dataset4_2340598X","Dataset4_3170286X","Dataset4_1470601X","Dataset4_4120053X","Dataset4_1260017X","Dataset4_3870646X","Dataset4_2120259X","Dataset4_2480739X","Dataset4_10612X","Dataset4_2490446X","Dataset4_6770711X","Dataset4_2060452X","Dataset4_50735X","Dataset4_2680722X","Dataset4_2320356X","Dataset4_6560438X","Dataset4_2710114X","Dataset4_870626X","Dataset4_2940369X","Dataset4_990072X","Dataset4_50070X","Dataset4_650008X","Dataset4_6940358X","Dataset4_4570441X","Dataset4_3610259X","Dataset4_4060221X","Dataset4_2260131X","Dataset4_1500148X","Dataset4_6220543X","Dataset4_4900010X","Dataset4_7550431X","Dataset4_2470619X","Dataset4_3390544X","Dataset4_2100241X","Dataset4_620241X","Dataset4_630377X","Dataset4_3180398X","Dataset4_2570026X","Dataset4_540021X","Dataset4_4640136X","Dataset4_6330047X","Dataset4_1710594X","Dataset4_270519X","Dataset4_1690059X","Dataset4_2850162X","Dataset4_130021X","Dataset4_2230273X","Dataset4_270348X","Dataset4_2070037X","Dataset4_6280156X","Dataset4_5390246X","Dataset4_1240450X","Dataset4_7160369X","Dataset4_5390239X","Dataset4_3940754X","Dataset4_1230201X","Dataset4_6400333X","Dataset4_1030376X","Dataset4_4890722X","Dataset4_4040725X","Dataset4_3440343X","Dataset4_6370014X","Dataset4_940356X","Dataset4_6110167X","Dataset4_4860408X"
0.961638,1.41492,2.01671,5.00802, 0.821777,5.41492,1.01292,0.677862,19.9618,0.179302, 40,40,5,41,5,5,39,39,40,40,5,40,39,39,41,39,39,14,5,5,39,5,41,41,5,40,5,5,5,39,41,5,40,39,5,41,5,41,5,41,39,40,39,40,5,39,41,5,5,39,5,5,41,5,40,5,41,40,41,5,39,39,40,40,39,39,39,41,5,5,41,40,5,39,5,40,41,41,5,14,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44, 3,3,30,3,24,30,24,3,24,30,30,42,24,24,3,3,3,24,30,30,24,30,3,42,30,3,30,30,30,24,42,24,30,24,30,3,30,3,30,3,3,3,24,42,30,24,3,42,30,24,24,24,3,30,42,30,3,3,3,30,24,24,42,3,24,3,3,3,30,30,42,42,30,24,24,3,3,3,24,3,3,42,3,3,3,3,3,30,30,3,3,42,42,42,42,42,42,42,42,42,42,42, 12,12,12,24,39,12,25,24,12,24,12,24,39,39,24,39,24,24,12,12,24,12,24,24,12,24,12,12,12,39,24,39,2,39,12,24,39,24,12,24,25,24,39,24,39,39,24,39,39,25,25,24,24,12,2,39,43,24,24,12,39,39,24,39,25,24,24,24,12,12,43,24,12,24,39,24,24,24,39,24,43,43,24,43,43,39,43,12,12,24,43,25,24,24,24,39,2,43,2,2,43,43, 30,30,30,31,30,30,31,31,30,42,30,42,30,30,31,33,31,31,30,30,31,30,31,42,30,31,30,30,30,33,31,30,31,30,30,31,30,31,30,31,31,31,30,31,30,30,31,42,30,44,44,31,31,30,42,30,42,31,31,30,44,30,31,30,44,31,31,31,30,30,42,31,30,44,30,31,31,31,30,31,42,42,31,42,31,30,42,30,30,31,42,31,42,31,31,44,31,31,31,42,42,42
1.93511,2.5202,0.908994,1.37945, 0.372063,0.126219,0.311465,0.84031,2.64216,0.160915, 42,42,13,42,13,13,13,13,42,42,27,42,13,13,42,13,13,42,13,27,13,27,42,42,13,42,27,13,13,13,42,13,42,13,27,42,13,42,13,42,13,42,13,42,13,13,42,13,13,13,13,13,42,27,42,13,42,42,42,27,13,13,42,42,13,13,13,42,13,13,42,42,27,13,13,42,42,42,13,42,33,6,33,6,33,33,33,33,33,33,33,33,6,33,33,33,33,33,33,33,33,33, 24,24,28,24,27,28,27,24,27,27,11,36,27,27,24,27,27,27,28,28,27,28,24,36,27,24,28,27,28,27,36,27,27,27,11,24,28,27,28,27,27,24,27,36,27,27,24,36,27,27,27,27,24,28,36,27,24,24,27,28,27,27,36,27,27,27,27,27,27,28,36,36,28,27,27,24,24,24,27,27,24,36,24,24,24,24,24,28,27,24,24,36,36,36,36,36,36,36,36,36,36,36, 43,43,43,42,43,25,43,45,43,42,25,42,43,43,42,43,45,43,43,25,3,25,42,42,43,42,25,43,43,43,42,43,19,43,25,42,43,42,25,42,43,42,43,42,43,43,42,43,43,43,43,43,42,25,19,43,19,42,42,25,43,43,42,43,43,45,42,41,43,25,19,42,25,43,43,42,42,42,43,42,19,19,3,19,19,43,19,25,25,28,19,43,42,45,42,43,19,19,19,19,19,19, 5,5,5,27,5,5,23,24,5,41,44,41,23,23,27,23,23,23,5,5,23,44,27,41,5,19,44,5,5,23,19,5,24,23,44,24,23,24,5,24,23,24,23,27,5,23,27,41,5,23,23,23,27,5,41,5,41,27,27,5,23,23,19,5,23,23,27,23,5,5,41,19,5,23,5,19,19,27,5,27,41,41,27,41,19,23,41,5,5,24,41,23,41,27,27,23,27,27,27,41,41,41
1.62608,1.134,2.51901,3.17609, 0.198713,0.470116,0.891572,1.68872,7.73589,7.54764, 29,29,35,15,43,43,15,43,15,29,35,29,43,43,15,43,15,15,43,35,43,35,15,15,35,29,35,35,43,43,15,43,29,43,35,15,43,15,35,15,43,15,43,29,43,43,15,43,43,43,43,43,15,35,29,43,15,29,15,35,43,43,29,15,43,43,15,15,35,35,15,29,35,43,43,29,15,15,43,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,28,10, 24,24,5,24,22,5,15,24,24,5,5,34,22,22,24,24,24,15,5,5,24,5,24,34,5,24,5,5,5,5,34,22,5,22,5,24,5,24,5,24,24,24,22,34,22,22,24,34,5,15,22,15,24,5,34,5,24,24,24,5,22,15,34,24,15,24,24,24,5,5,34,34,5,15,22,24,24,24,22,24,24,34,24,24,24,24,24,5,5,24,24,34,34,34,34,34,34,34,34,34,34,34, 43,43,43,34,43,43,30,30,43,34,43,34,30,30,24,30,30,30,43,43,30,43,28,34,43,34,43,43,43,30,34,43,20,30,43,24,43,24,43,28,30,24,43,34,43,30,34,30,43,30,30,30,34,43,20,43,20,34,24,43,30,30,34,43,30,30,28,30,43,43,20,34,43,30,43,34,34,28,43,28,20,20,30,20,20,43,20,43,43,30,20,30,24,30,28,43,20,20,20,20,20,20, 6,8,6,34,43,6,43,43,6,5,6,5,43,43,34,43,43,43,6,6,43,6,43,5,6,34,6,6,6,43,34,43,43,43,6,43,43,43,6,43,43,34,43,34,8,43,34,5,43,43,43,43,34,6,5,8,5,34,34,6,43,43,34,43,43,43,43,43,6,6,5,34,6,43,8,34,34,43,43,43,5,5,34,5,34,43,5,6,6,43,5,43,5,34,43,43,34,34,34,5,5,5
2.32801,1.52164,3.56459,1.35815, 4.88405,0.67963,4.71139,6.02057,0.414071,0.0272313, 8,8,39,35,39,39,18,18,35,8,39,8,4,39,35,39,18,35,39,39,18,39,35,35,39,35,39,39,39,4,35,39,8,39,39,35,39,35,39,35,39,8,18,8,39,18,35,39,39,39,39,39,35,39,8,39,35,8,35,39,4,18,8,35,18,18,18,35,39,39,35,8,39,39,39,8,35,35,39,35,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16, 16,16,18,16,2,21,2,16,2,18,21,33,50,2,16,16,16,2,18,21,16,21,16,33,18,16,21,50,18,18,33,2,50,2,21,16,21,16,21,16,16,16,2,33,50,50,16,33,18,2,2,2,16,21,33,18,16,16,16,21,2,2,33,16,2,16,16,16,18,18,33,33,21,2,50,16,16,16,2,16,16,33,16,16,16,16,16,21,18,16,16,33,33,33,33,33,33,33,33,33,33,33, 13,13,13,33,2,13,2,43,13,4,13,33,2,2,4,2,43,43,13,13,43,13,4,4,13,4,13,2,13,2,4,2,16,2,13,4,2,4,13,4,2,4,2,4,2,2,4,2,2,2,2,43,4,13,16,2,16,4,4,13,2,2,4,2,2,43,4,43,13,13,16,4,13,43,2,4,33,4,2,4,16,16,43,16,16,2,16,13,13,43,16,43,4,43,4,2,16,16,16,16,16,16, 43,43,36,16,43,36,16,16,36,19,36,19,43,39,16,43,16,16,36,36,16,36,16,19,36,16,36,43,36,39,16,43,16,39,36,16,39,16,36,16,16,16,43,16,43,43,16,19,43,39,16,16,16,36,19,43,19,16,16,36,39,39,16,43,16,16,16,16,43,36,19,16,36,39,43,16,16,16,43,16,19,19,16,19,16,39,19,36,36,16,19,16,19,16,16,39,16,16,16,19,19,19
3.18834,0.875251,2.7578,1.11811, 0.088544,0.0349034,1.06507,0.0498387,2.42731,2.12508, 19,19,7,14,7,7,7,7,19,19,7,19,7,7,14,7,7,14,7,7,7,7,14,14,7,19,7,7,7,7,14,7,19,7,7,14,7,14,7,7,7,19,7,19,7,7,14,7,7,7,7,7,14,7,19,7,14,19,14,7,7,7,14,19,7,7,7,14,7,7,14,19,7,7,7,19,19,14,7,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, 18,18,17,18,17,17,17,27,18,17,17,13,17,17,18,18,18,18,17,17,18,17,18,13,17,18,17,17,17,17,13,17,17,17,45,18,17,18,17,18,18,18,17,13,17,17,18,13,17,18,17,17,18,17,13,17,18,18,18,17,17,17,13,18,17,18,18,18,17,17,13,13,17,18,17,18,18,18,17,18,18,13,18,18,27,18,18,17,17,18,18,13,13,13,13,13,13,13,13,13,13,13, 23,23,23,8,23,23,6,6,23,8,23,8,23,23,38,6,6,6,23,23,6,23,38,8,23,8,23,23,23,23,8,23,13,23,23,38,23,38,23,38,6,38,23,8,23,23,8,23,23,6,6,6,8,23,13,23,13,8,8,23,6,23,8,23,6,6,38,6,23,23,13,8,23,6,23,8,8,8,23,8,13,13,6,13,13,23,13,23,23,6,13,6,38,7,38,23,13,13,13,13,13,13, 18,18,18,3,18,46,48,3,46,14,23,14,17,17,3,17,6,6,46,46,6,46,6,14,18,3,46,18,18,17,2,18,6,17,23,6,17,6,46,6,6,6,18,3,18,17,3,14,18,48,48,6,3,46,14,18,14,3,3,46,17,17,2,18,48,6,3,6,18,46,14,3,46,48,18,3,3,6,18,6,14,14,3,14,3,17,14,46,46,6,14,48,14,3,6,48,3,3,3,14,14,14
0.514854,5.24493,0.676305,1.93304, 0.305048,0.979682,2.79098,3.46785,0.672342,2.73281, 29,29,5,3,5,5,34,34,29,29,27,29,34,34,3,34,34,34,5,27,34,27,34,29,5,29,27,5,5,34,29,34,29,34,27,12,5,3,5,34,34,29,34,29,5,34,29,34,34,34,34,34,29,27,29,34,12,29,29,27,34,34,29,29,34,34,34,3,5,5,29,29,27,34,5,29,29,29,5,34,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19, 12,50,6,12,6,37,14,12,50,6,37,30,6,6,50,50,50,14,6,37,50,6,50,30,6,12,37,6,6,6,8,6,6,6,37,50,6,50,6,50,50,50,6,15,6,6,50,30,6,50,6,14,50,37,15,6,12,50,50,37,6,6,30,50,14,50,50,50,6,6,30,8,37,50,6,12,12,12,6,50,12,30,50,50,12,50,50,6,6,12,50,30,30,11,30,30,15,30,15,15,30,30, 26,26,26,37,26,26,10,10,26,37,26,37,10,10,36,10,10,10,26,26,10,26,36,37,26,37,26,26,26,10,37,26,15,10,26,36,26,36,26,36,10,36,26,37,26,10,37,10,26,10,10,10,37,26,15,26,15,37,37,26,10,10,37,26,10,10,36,10,26,26,15,37,26,10,26,37,37,37,26,37,15,15,10,15,15,26,15,26,26,10,15,10,36,10,36,26,15,15,15,15,15,15, 38,38,38,37,38,18,34,34,18,29,18,29,38,38,34,38,34,34,18,18,34,18,34,29,38,37,18,38,38,4,37,38,34,38,18,34,4,34,18,34,34,34,38,37,38,38,34,29,38,4,4,43,34,18,29,38,29,37,34,18,4,38,37,38,43,34,34,34,38,18,29,37,18,4,38,37,37,34,38,34,29,29,37,29,37,4,29,18,18,34,29,43,29,37,34,4,34,37,37,29,29,29
2.0483,1.4721,1.04415,2.0982, 2.60623,0.0730271,0.389565,0.165613,2.07686,0.190473, 25,25,47,25,41,17,17,17,25,25,47,25,17,17,25,17,17,17,41,47,17,47,25,25,41,25,47,41,41,17,25,41,25,17,47,25,41,25,41,17,17,25,17,25,41,17,25,41,41,41,41,41,25,47,25,41,25,25,25,47,17,17,25,25,17,17,17,25,47,47,25,25,47,41,47,25,25,25,41,4,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31, 38,25,35,43,15,35,41,43,29,15,35,48,15,15,38,29,29,41,35,35,41,35,25,48,35,25,35,15,35,15,48,15,15,15,35,25,35,25,35,29,29,25,15,48,15,15,25,48,15,41,15,41,25,35,48,15,43,25,25,35,15,15,48,29,41,41,25,29,35,35,48,48,35,41,15,25,43,38,15,29,43,48,38,38,43,38,25,35,15,43,38,48,48,48,48,48,48,48,48,48,48,48, 1,1,1,48,43,1,43,43,1,48,1,48,43,43,5,43,43,43,1,1,43,1,3,48,1,48,1,1,1,43,48,43,44,43,42,3,43,3,1,3,43,3,43,48,1,43,48,43,43,43,43,43,48,1,44,43,44,48,5,1,43,43,48,43,43,43,3,43,1,1,44,48,1,43,43,48,48,5,43,3,44,44,43,44,44,43,44,1,1,43,44,43,3,43,3,43,44,44,44,44,44,44, 35,35,35,21,35,35,35,43,31,17,31,17,35,35,21,35,43,43,35,35,43,31,43,17,35,21,31,35,35,35,21,35,43,35,31,43,35,43,35,43,43,43,35,21,35,35,4,17,35,35,35,35,4,31,17,35,17,21,21,31,35,35,21,35,35,43,43,43,35,31,17,21,31,35,35,21,21,43,35,43,17,17,21,17,21,35,17,31,35,43,17,35,17,21,43,35,21,21,21,17,17,17
1.75881,3.35549,3.94091,1.02364, 0.417597,1.1734,0.849834,1.33688,0.715584,0.155288, 40,40,22,16,36,36,36,36,44,40,22,40,36,36,16,36,36,16,22,22,36,22,16,44,22,40,22,22,22,36,44,36,40,36,22,34,36,16,22,16,36,40,36,40,36,36,34,36,36,36,36,36,40,22,40,36,44,40,44,22,36,36,40,44,36,36,36,16,22,22,44,40,22,36,22,40,34,34,36,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21, 29,29,42,29,42,42,23,29,23,42,42,15,42,42,29,13,23,23,42,42,23,42,29,15,42,29,42,42,42,42,15,42,42,42,38,29,42,29,42,13,13,29,42,15,42,42,29,15,42,23,42,23,29,42,15,42,29,29,13,42,42,23,15,13,23,13,13,13,42,42,15,15,42,23,42,29,29,29,42,13,29,15,29,29,29,29,29,42,42,29,29,15,15,15,15,15,15,15,15,15,15,15, 19,19,19,15,19,19,38,38,19,15,19,15,38,19,2,38,38,38,19,19,38,19,2,15,19,15,19,19,19,19,15,19,23,19,19,40,19,2,19,40,38,2,19,45,19,19,45,38,19,38,38,38,45,19,23,19,23,45,45,19,38,38,45,19,38,38,38,38,19,19,23,15,19,38,19,45,15,45,19,2,23,23,38,23,23,19,23,19,19,38,23,38,2,38,40,19,23,23,23,23,23,23, 25,22,25,4,22,25,22,4,25,36,25,36,22,22,4,22,4,22,25,25,22,25,4,36,25,4,25,22,25,22,4,22,4,22,25,4,22,4,25,4,22,4,22,4,22,22,4,36,22,22,22,22,4,25,36,22,36,4,4,25,22,22,4,22,22,4,4,4,25,25,36,4,25,22,22,4,4,4,22,4,36,36,4,36,4,22,36,25,25,4,36,22,36,4,4,22,4,4,4,36,36,36
1.36558,1.89609,2.19341,2.28573, 0.875281,0.933767,0.0316222,0.160475,0.617741,0.00236746, 26,10,17,14,17,17,11,11,26,10,17,26,11,11,14,11,14,14,17,17,11,17,14,26,17,26,17,17,17,11,26,17,26,11,17,14,17,14,17,14,11,26,11,10,17,11,26,17,17,11,17,17,26,17,26,17,14,26,26,17,11,11,26,26,11,11,11,14,17,17,26,26,17,17,17,26,26,26,17,14,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45, 37,37,11,37,14,11,14,14,37,11,11,22,14,14,37,37,37,37,11,11,37,11,14,22,11,37,11,11,11,11,22,14,11,14,11,14,11,37,11,37,37,37,14,22,11,14,37,22,11,14,14,14,37,11,22,11,37,37,37,11,14,14,22,37,14,37,37,37,11,11,22,22,11,14,11,37,37,37,14,37,37,22,37,37,37,37,37,11,11,37,37,22,22,22,40,22,22,22,22,22,22,22, 26,26,26,2,26,26,11,11,26,2,18,2,26,26,11,34,11,11,26,18,11,18,11,2,26,2,18,26,26,26,2,26,22,26,18,11,26,11,26,11,11,11,26,2,26,26,2,26,26,34,34,11,2,18,22,26,22,2,2,18,34,34,2,26,34,11,11,11,26,18,22,2,18,11,26,2,2,2,26,2,22,22,11,22,22,26,22,18,18,11,22,11,11,11,11,26,22,22,22,22,22,22, 48,48,48,36,48,48,42,42,48,43,48,43,48,48,42,48,42,42,48,48,42,48,42,43,48,36,48,48,48,10,36,48,42,48,48,42,10,42,48,42,42,42,48,36,48,48,42,43,48,10,42,42,42,48,43,48,43,36,42,48,10,10,36,48,42,42,42,42,48,48,43,36,48,42,48,36,36,42,48,42,43,43,36,43,36,10,43,48,48,42,43,42,43,36,42,10,36,36,36,43,43,43
1.87414,0.446215,0.893984,0.611892, 0.213406,0.196082,0.242067,6.62479,4.78444,2.10589, 32,32,16,32,17,17,20,20,32,32,16,32,17,17,32,17,46,32,17,16,20,16,32,32,16,32,16,16,17,20,32,17,32,17,16,32,17,32,16,46,17,32,20,32,17,20,32,17,17,17,17,17,32,16,32,17,32,32,32,16,20,46,32,32,46,46,46,32,16,16,32,32,16,17,16,32,32,32,17,32,42,42,42,4,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,4, 32,32,3,32,3,9,42,32,42,3,9,4,3,3,32,42,42,42,3,9,42,9,32,4,3,32,9,3,3,3,4,3,3,3,9,32,3,32,3,42,42,32,3,4,3,3,32,4,3,42,3,42,32,9,4,3,32,32,32,9,3,3,4,42,3,42,42,42,3,3,4,4,9,42,3,32,32,32,3,32,32,4,32,32,32,32,32,3,3,32,32,4,4,4,4,4,4,4,4,4,4,4, 25,25,25,34,25,8,43,4,25,34,8,34,43,3,34,43,43,43,8,8,43,8,34,34,25,34,8,25,25,3,34,25,1,3,31,34,25,34,8,34,43,34,25,34,25,3,34,43,25,43,3,43,34,8,1,25,1,34,34,8,43,43,34,25,43,43,34,43,25,8,1,34,8,43,43,34,34,34,25,34,1,1,43,1,1,25,1,8,25,43,1,43,34,4,34,3,1,1,1,1,1,1, 19,19,8,1,5,8,5,32,8,4,8,4,5,5,1,5,32,32,8,8,32,8,32,4,19,1,8,19,8,5,1,5,32,5,8,32,5,32,8,32,32,1,5,1,5,5,1,4,5,5,5,5,1,8,4,5,4,1,1,8,5,5,1,5,5,32,32,32,19,8,4,1,8,5,5,1,1,32,5,32,4,4,1,4,1,5,4,8,8,32,4,5,4,1,32,5,1,1,1,4,4,4
