MassParameter_1,MassParameter_2,MassParameter_3,MassParameter_4,Phi_12,Phi_13,Phi_14,Phi_23,Phi_24,Phi_34,Dataset1_7320370X,Dataset1_4640576X,Dataset1_2060465X,Dataset1_3140445X,Dataset1_6960209X,Dataset1_5670435X,Dataset1_4880367X,Dataset1_5050575X,Dataset1_290402X,Dataset1_650753X,Dataset1_110382X,Dataset1_3450274X,Dataset1_5960343X,Dataset1_4120037X,Dataset1_4050070X,Dataset1_6480059X,Dataset1_2000100X,Dataset1_3170669X,Dataset1_4830100X,Dataset1_6180538X,Dataset1_6980482X,Dataset1_4900670X,Dataset1_1780762X,Dataset1_1780564X,Dataset1_5270386X,Dataset1_7210424X,Dataset1_7050332X,Dataset1_6200431X,Dataset1_270156X,Dataset1_2470259X,Dataset1_630753X,Dataset1_3830519X,Dataset1_940747X,Dataset1_6840148X,Dataset1_1170609X,Dataset1_1770753X,Dataset1_6900209X,Dataset1_2340598X,Dataset1_3170286X,Dataset1_1470601X,Dataset1_4120053X,Dataset1_1260017X,Dataset1_3870646X,Dataset1_2120259X,Dataset1_2480739X,Dataset1_10612X,Dataset1_2490446X,Dataset1_6770711X,Dataset1_2060452X,Dataset1_50735X,Dataset1_2680722X,Dataset1_2320356X,Dataset1_6560438X,Dataset1_2710114X,Dataset1_870626X,Dataset1_2940369X,Dataset1_990072X,Dataset1_50070X,Dataset1_650008X,Dataset1_6940358X,Dataset1_4570441X,Dataset1_3610259X,Dataset1_4060221X,Dataset1_2260131X,Dataset1_1500148X,Dataset1_6220543X,Dataset1_4900010X,Dataset1_7550431X,Dataset1_2470619X,Dataset1_3390544X,Dataset1_2100241X,Dataset1_620241X,Dataset1_630377X,Dataset1_3180398X,Dataset1_2570026X,Dataset1_540021X,Dataset1_4640136X,Dataset1_6330047X,Dataset1_1710594X,Dataset1_270519X,Dataset1_1690059X,Dataset1_2850162X,Dataset1_130021X,Dataset1_2230273X,Dataset1_270348X,Dataset1_2070037X,Dataset1_6280156X,Dataset1_5390246X,Dataset1_1240450X,Dataset1_7160369X,Dataset1_5390239X,Dataset1_3940754X,Dataset1_1230201X,Dataset1_6400333X,Dataset1_1030376X,Dataset1_4890722X,Dataset1_4040725X,Dataset1_3440343X,Dataset1_6370014X,Dataset1_940356X,Dataset1_6110167X,Dataset1_4860408X,Dataset2_7320370X,Dataset2_4640576X,Dataset2_2060465X,Dataset2_3140445X,Dataset2_6960209X,Dataset2_5670435X,Dataset2_4880367X,Dataset2_5050575X,Dataset2_290402X,Dataset2_650753X,Dataset2_110382X,Dataset2_3450274X,Dataset2_5960343X,Dataset2_4120037X,Dataset2_4050070X,Dataset2_6480059X,Dataset2_2000100X,Dataset2_3170669X,Dataset2_4830100X,Dataset2_6180538X,Dataset2_6980482X,Dataset2_4900670X,Dataset2_1780762X,Dataset2_1780564X,Dataset2_5270386X,Dataset2_7210424X,Dataset2_7050332X,Dataset2_6200431X,Dataset2_270156X,Dataset2_2470259X,Dataset2_630753X,Dataset2_3830519X,Dataset2_940747X,Dataset2_6840148X,Dataset2_1170609X,Dataset2_1770753X,Dataset2_6900209X,Dataset2_2340598X,Dataset2_3170286X,Dataset2_1470601X,Dataset2_4120053X,Dataset2_1260017X,Dataset2_3870646X,Dataset2_2120259X,Dataset2_2480739X,Dataset2_10612X,Dataset2_2490446X,Dataset2_6770711X,Dataset2_2060452X,Dataset2_50735X,Dataset2_2680722X,Dataset2_2320356X,Dataset2_6560438X,Dataset2_2710114X,Dataset2_870626X,Dataset2_2940369X,Dataset2_990072X,Dataset2_50070X,Dataset2_650008X,Dataset2_6940358X,Dataset2_4570441X,Dataset2_3610259X,Dataset2_4060221X,Dataset2_2260131X,Dataset2_1500148X,Dataset2_6220543X,Dataset2_4900010X,Dataset2_7550431X,Dataset2_2470619X,Dataset2_3390544X,Dataset2_2100241X,Dataset2_620241X,Dataset2_630377X,Dataset2_3180398X,Dataset2_2570026X,Dataset2_540021X,Dataset2_4640136X,Dataset2_6330047X,Dataset2_1710594X,Dataset2_270519X,Dataset2_1690059X,Dataset2_2850162X,Dataset2_130021X,Dataset2_2230273X,Dataset2_270348X,Dataset2_2070037X,Dataset2_6280156X,Dataset2_5390246X,Dataset2_1240450X,Dataset2_7160369X,Dataset2_5390239X,Dataset2_3940754X,Dataset2_1230201X,Dataset2_6400333X,Dataset2_1030376X,Dataset2_4890722X,Dataset2_4040725X,Dataset2_3440343X,Dataset2_6370014X,Dataset2_940356X,Dataset2_6110167X,Dataset2_4860408X,Dataset3_7320370X,Dataset3_4640576X,Dataset3_2060465X,Dataset3_3140445X,Dataset3_6960209X,Dataset3_5670435X,Dataset3_4880367X,Dataset3_5050575X,Dataset3_290402X,Dataset3_650753X,Dataset3_110382X,Dataset3_3450274X,Dataset3_5960343X,Dataset3_4120037X,Dataset3_4050070X,Dataset3_6480059X,Dataset3_2000100X,Dataset3_3170669X,Dataset3_4830100X,Dataset3_6180538X,Dataset3_6980482X,Dataset3_4900670X,Dataset3_1780762X,Dataset3_1780564X,Dataset3_5270386X,Dataset3_7210424X,Dataset3_7050332X,Dataset3_6200431X,Dataset3_270156X,Dataset3_2470259X,Dataset3_630753X,Dataset3_3830519X,Dataset3_940747X,Dataset3_6840148X,Dataset3_1170609X,Dataset3_1770753X,Dataset3_6900209X,Dataset3_2340598X,Dataset3_3170286X,Dataset3_1470601X,Dataset3_4120053X,Dataset3_1260017X,Dataset3_3870646X,Dataset3_2120259X,Dataset3_2480739X,Dataset3_10612X,Dataset3_2490446X,Dataset3_6770711X,Dataset3_2060452X,Dataset3_50735X,Dataset3_2680722X,Dataset3_2320356X,Dataset3_6560438X,Dataset3_2710114X,Dataset3_870626X,Dataset3_2940369X,Dataset3_990072X,Dataset3_50070X,Dataset3_650008X,Dataset3_6940358X,Dataset3_4570441X,Dataset3_3610259X,Dataset3_4060221X,Dataset3_2260131X,Dataset3_1500148X,Dataset3_6220543X,Dataset3_4900010X,Dataset3_7550431X,Dataset3_2470619X,Dataset3_3390544X,Dataset3_2100241X,Dataset3_620241X,Dataset3_630377X,Dataset3_3180398X,Dataset3_2570026X,Dataset3_540021X,Dataset3_4640136X,Dataset3_6330047X,Dataset3_1710594X,Dataset3_270519X,Dataset3_1690059X,Dataset3_2850162X,Dataset3_130021X,Dataset3_2230273X,Dataset3_270348X,Dataset3_2070037X,Dataset3_6280156X,Dataset3_5390246X,Dataset3_1240450X,Dataset3_7160369X,Dataset3_5390239X,Dataset3_3940754X,Dataset3_1230201X,Dataset3_6400333X,Dataset3_1030376X,Dataset3_4890722X,Dataset3_4040725X,Dataset3_3440343X,Dataset3_6370014X,Dataset3_940356X,Dataset3_6110167X,Dataset3_4860408X,Dataset4_7320370X,Dataset4_4640576X,Dataset4_2060465X,Dataset4_3140445X,Dataset4_6960209X,Dataset4_5670435X,Dataset4_4880367X,Dataset4_5050575X,Dataset4_290402X,Dataset4_650753X,Dataset4_110382X,Dataset4_3450274X,Dataset4_5960343X,Dataset4_4120037X,Dataset4_4050070X,Dataset4_6480059X,Dataset4_2000100X,Dataset4_3170669X,Dataset4_4830100X,Dataset4_6180538X,Dataset4_6980482X,Dataset4_4900670X,Dataset4_1780762X,Dataset4_1780564X,Dataset4_5270386X,Dataset4_7210424X,Dataset4_7050332X,Dataset4_6200431X,Dataset4_270156X,Dataset4_2470259X,Dataset4_630753X,Dataset4_3830519X,Dataset4_940747X,Dataset4_6840148X,Dataset4_1170609X,Dataset4_1770753X,Dataset4_6900209X,Dataset4_2340598X,Dataset4_3170286X,Dataset4_1470601X,Dataset4_4120053X,Dataset4_1260017X,Dataset4_3870646X,Dataset4_2120259X,Dataset4_2480739X,Dataset4_10612X,Dataset4_2490446X,Dataset4_6770711X,Dataset4_2060452X,Dataset4_50735X,Dataset4_2680722X,Dataset4_2320356X,Dataset4_6560438X,Dataset4_2710114X,Dataset4_870626X,Dataset4_2940369X,Dataset4_990072X,Dataset4_50070X,Dataset4_650008X,Dataset4_6940358X,Dataset4_4570441X,Dataset4_3610259X,Dataset4_4060221X,Dataset4_2260131X,Dataset4_1500148X,Dataset4_6220543X,Dataset4_4900010X,Dataset4_7550431X,Dataset4_2470619X,Dataset4_3390544X,Dataset4_2100241X,Dataset4_620241X,Dataset4_630377X,Dataset4_3180398X,Dataset4_2570026X,Dataset4_540021X,Dataset4_4640136X,Dataset4_6330047X,Dataset4_1710594X,Dataset4_270519X,Dataset4_1690059X,Dataset4_2850162X,Dataset4_130021X,Dataset4_2230273X,Dataset4_270348X,Dataset4_2070037X,Dataset4_6280156X,Dataset4_5390246X,Dataset4_1240450X,Dataset4_7160369X,Dataset4_5390239X,Dataset4_3940754X,Dataset4_1230201X,Dataset4_6400333X,Dataset4_1030376X,Dataset4_4890722X,Dataset4_4040725X,Dataset4_3440343X,Dataset4_6370014X,Dataset4_940356X,Dataset4_6110167X,Dataset4_4860408X
2,2,2,2,15.388,18.986,20.611,0.61539,5.8372,2.1167,9,5,2,9,1,10,5,9,9,4,6,3,7,6,3,6,3,1,7,1,7,2,8,10,5,6,6,5,5,3,4,8,8,5,7,10,7,9,1,3,2,3,5,4,1,5,5,3,7,4,4,8,6,7,10,9,8,2,7,10,6,9,4,7,7,1,4,8,4,5,10,3,6,10,1,8,8,3,3,6,7,1,4,1,7,8,10,2,10,2,8,6,8,7,2,8,7,5,4,2,9,10,4,10,5,3,7,9,6,3,7,6,7,6,7,6,2,5,8,9,2,9,8,6,8,5,5,7,7,1,1,1,9,7,8,5,1,5,5,1,5,8,3,10,1,10,9,9,1,4,3,8,4,8,3,6,3,6,7,5,5,7,2,5,1,4,2,4,2,3,2,1,10,6,1,7,6,7,6,6,1,1,8,8,4,1,1,2,5,9,1,8,3,2,2,10,7,7,2,1,2,3,7,8,3,2,4,2,3,3,6,7,3,2,7,1,8,4,1,5,5,2,8,2,5,1,3,5,1,5,3,8,5,8,4,5,5,2,2,1,6,3,4,3,6,2,7,3,3,1,6,7,4,8,6,7,2,4,4,8,6,1,4,3,8,1,3,4,1,6,4,6,4,1,3,4,5,4,3,7,4,8,5,7,7,2,1,5,6,2,7,1,1,4,6,8,5,8,2,2,8,1,1,4,3,4,4,4,5,8,3,9,5,5,3,3,3,8,4,3,6,7,3,1,5,5,7,5,4,8,7,2,5,7,7,1,2,5,7,2,8,6,1,1,2,3,3,2,2,9,6,3,4,7,6,9,6,9,9,6,7,5,8,5,2,8,2,4,7,9,4,6,4,3,7,4,8,5,6,4,4,4,5,2,4,8,7,1,3,2,6,5,6,7,1,8,5,1,6,5,9,5,8,9,3,2,7,9
1.8262,1.2541,1.905,2.4692,3.375,1.8931,3.7072,3.1696,2.1229,2.4424,3,3,7,3,4,4,4,4,3,3,7,3,4,4,3,4,3,3,4,7,4,7,3,3,7,3,7,7,4,4,3,4,3,4,7,3,4,3,7,3,4,3,4,3,4,4,3,4,4,4,4,4,3,7,3,4,3,3,3,7,4,4,3,3,4,4,4,3,7,7,3,3,7,4,7,3,3,3,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,37,5,20,7,27,5,3,20,40,8,20,20,5,3,3,27,37,7,3,7,5,8,4,5,7,4,37,20,8,20,20,20,40,5,37,3,37,3,3,5,20,8,20,20,5,8,4,27,20,27,5,7,8,4,5,5,3,7,20,27,8,3,27,3,3,3,4,37,8,8,7,27,20,5,5,5,20,3,5,8,5,5,5,5,5,7,4,5,5,8,8,8,8,8,8,8,8,8,8,8,37,37,37,8,20,37,4,3,37,8,40,8,20,20,3,4,3,4,37,7,4,7,3,8,37,8,7,37,37,20,8,20,5,20,40,3,20,3,7,3,4,3,20,8,20,20,8,20,20,4,4,4,8,7,5,20,5,8,8,7,4,4,8,20,4,3,3,4,37,7,5,8,7,4,20,8,8,3,20,3,5,5,3,5,5,20,5,7,7,3,5,4,3,3,3,20,5,5,5,5,5,5,37,37,37,5,4,7,20,3,7,8,40,8,4,4,5,4,3,20,7,7,20,7,3,8,37,5,7,37,37,4,5,4,3,4,40,3,4,3,7,3,20,3,4,5,4,4,5,8,4,4,20,20,5,7,8,4,8,5,5,7,20,4,5,4,20,3,3,20,37,7,8,5,7,20,4,5,5,3,4,3,8,8,5,8,5,4,8,7,7,3,8,20,8,5,3,20,5,5,5,8,8,8
1.4155,1.5946,1.4999,2.7762,2.344,2.3388,2.0275,4.1892,2.7521,6.7474,3,3,7,3,4,4,4,4,3,3,7,3,4,4,3,4,3,3,4,7,4,7,3,3,7,3,7,7,4,4,3,4,3,4,7,3,4,3,7,3,4,3,4,3,4,4,3,4,4,4,4,4,3,7,3,4,3,3,3,7,4,4,3,3,4,4,4,3,7,7,3,3,7,4,7,3,3,3,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,37,5,20,7,4,5,3,20,40,8,20,20,5,3,3,4,37,7,3,7,5,8,9,5,7,9,37,20,8,20,20,20,40,5,37,3,37,3,3,5,20,8,20,20,5,8,9,4,20,4,5,7,8,9,5,5,3,7,20,4,8,3,4,3,3,3,9,37,8,8,7,4,20,5,5,5,20,3,5,8,5,5,5,5,5,7,9,5,5,8,8,8,8,8,8,8,8,8,8,8,37,37,37,5,20,37,4,3,37,5,40,5,20,20,3,4,3,4,37,7,4,7,3,5,37,5,7,37,37,20,5,20,8,20,40,3,20,3,7,3,4,3,20,5,20,20,5,20,20,4,4,4,5,7,8,20,8,5,5,7,4,4,5,20,4,3,3,4,37,7,8,5,7,4,20,5,5,3,20,3,8,8,3,8,8,20,8,7,7,3,8,4,3,3,3,20,8,8,8,8,8,8,37,37,37,5,4,7,20,3,7,8,40,8,4,4,5,4,3,20,7,7,20,7,3,8,37,5,7,37,37,4,5,4,3,4,40,3,4,3,7,3,20,3,4,5,4,4,5,8,4,4,20,20,5,7,8,4,8,5,5,7,20,4,5,4,20,3,3,20,37,7,8,5,7,20,4,5,5,3,4,3,8,8,5,8,5,4,8,7,7,3,8,20,8,5,3,20,5,5,5,8,8,8
1.4049,1.6922,2.0518,2.6695,6.4765,3.95,4.0417,1.8103,3.4955,22.927,3,3,7,3,4,4,4,4,3,3,7,3,4,4,3,4,3,3,4,7,4,7,3,3,7,3,7,7,4,4,3,4,3,4,7,3,4,3,7,3,4,3,4,3,4,4,3,4,4,4,4,4,3,7,3,4,3,3,3,7,4,4,3,3,4,4,4,3,7,7,3,3,7,4,7,3,3,3,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,37,5,22,7,4,5,3,22,40,8,22,22,5,3,3,4,37,7,3,7,5,8,41,5,7,41,37,22,8,22,22,22,40,5,37,3,37,3,3,5,22,8,22,22,5,8,41,4,22,4,5,7,8,41,5,5,3,7,22,4,8,3,4,3,3,3,41,37,8,8,7,4,22,5,5,5,22,3,5,8,5,5,5,5,5,7,41,5,5,8,8,8,8,8,8,8,8,8,8,8,37,37,37,5,4,37,22,3,37,5,40,5,4,4,3,22,3,22,37,7,22,7,3,5,37,5,7,37,37,4,5,4,8,4,40,3,4,3,7,3,22,3,4,5,4,4,5,4,4,22,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,3,8,8,4,8,7,7,3,8,22,3,3,3,4,8,8,8,8,8,8,37,37,37,5,4,7,22,3,7,8,40,8,4,4,5,4,3,22,7,7,22,7,3,8,37,5,7,37,37,4,5,4,3,4,40,3,4,3,7,3,22,3,4,5,4,4,5,8,4,4,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,5,8,5,4,8,7,7,3,8,22,8,5,3,22,5,5,5,8,8,8
1.143,1.5499,2.0426,2.3014,2.9455,3.9892,4.7079,2.4113,4.0518,20.648,3,3,7,3,4,4,4,4,3,3,7,3,4,4,3,4,3,3,4,7,4,7,3,3,7,3,7,7,4,4,3,4,3,4,7,3,4,3,7,3,4,3,4,3,4,4,3,4,4,4,4,4,3,7,3,4,3,3,3,7,4,4,3,3,4,4,4,3,7,7,3,3,7,4,7,3,3,3,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,37,5,4,7,22,5,3,4,40,8,4,4,5,3,3,22,37,7,3,7,5,8,23,5,7,23,37,4,8,4,4,4,40,5,37,3,37,3,3,5,4,8,4,4,5,8,23,22,4,22,5,7,8,23,5,5,3,7,4,22,8,3,22,3,3,3,23,37,8,8,7,22,4,5,5,5,4,3,5,8,5,5,5,5,5,7,23,5,5,8,8,8,8,8,8,8,8,8,8,8,37,37,37,5,4,37,22,3,37,5,40,5,4,4,3,22,3,22,37,7,22,7,3,5,37,5,7,37,37,4,5,4,8,4,40,3,4,3,7,3,22,3,4,5,4,4,5,4,4,22,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,3,8,8,4,8,7,7,3,8,22,3,3,3,4,8,8,8,8,8,8,37,37,37,5,4,7,22,3,7,8,40,8,4,4,5,4,3,22,7,7,22,7,3,8,37,5,7,37,37,4,5,4,3,4,40,3,4,3,7,3,22,3,4,5,4,4,5,8,4,4,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,5,8,5,4,8,7,7,3,8,22,8,5,3,22,5,5,5,8,8,8
1.0354,1.7181,1.6875,3.0605,3.6131,4.3912,5.0165,2.4933,6.1857,15.809,3,3,7,3,4,4,4,4,3,3,7,3,4,4,3,4,3,3,4,7,4,7,3,3,7,3,7,7,4,4,3,4,3,4,7,3,4,3,7,3,4,3,4,3,4,4,3,4,4,4,4,4,3,7,3,4,3,3,3,7,4,4,3,3,4,4,4,3,7,7,3,3,7,4,7,3,3,3,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,37,5,4,7,22,5,3,4,40,8,4,4,5,3,3,22,37,7,3,7,5,8,47,5,7,47,37,4,8,4,4,4,40,5,37,3,37,3,3,5,4,8,4,4,5,8,47,22,4,22,5,7,8,47,5,5,3,7,4,22,8,3,22,3,3,3,47,37,8,8,7,22,4,5,5,5,4,3,5,8,5,5,5,5,5,7,47,5,5,8,8,8,8,8,8,8,8,8,8,8,37,37,37,5,4,37,22,3,37,5,40,5,4,4,3,22,3,22,37,7,22,7,3,5,37,5,7,37,37,4,5,4,8,4,40,3,4,3,7,3,22,3,4,5,4,4,5,4,4,22,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,3,8,8,4,8,7,7,3,8,22,3,3,3,4,8,8,8,8,8,8,37,37,37,5,4,7,22,3,7,8,40,8,4,4,5,4,3,22,7,7,22,7,3,8,37,5,7,37,37,4,5,4,3,4,40,3,4,3,7,3,22,3,4,5,4,4,5,8,4,4,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,5,8,5,4,8,7,7,3,8,22,8,5,3,22,5,5,5,8,8,8
0.99082,1.964,2.1235,2.8931,7.6694,5.0666,3.184,3.8723,4.0479,21.933,3,3,7,3,4,4,4,4,3,3,7,3,4,4,3,4,3,3,4,7,4,7,3,3,7,3,7,7,4,4,3,4,3,4,7,3,4,3,7,3,4,3,4,3,4,4,3,4,4,4,4,4,3,7,3,4,3,3,3,7,4,4,3,3,4,4,4,3,7,7,3,3,7,4,7,3,3,3,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,37,5,4,7,22,5,3,4,40,8,4,4,5,3,3,22,37,7,3,7,5,8,41,5,7,41,37,4,8,4,4,4,40,5,37,3,37,3,3,5,4,8,4,4,5,8,41,22,4,22,5,7,8,41,5,5,3,7,4,22,8,3,22,3,3,3,41,37,8,8,7,22,4,5,5,5,4,3,5,8,5,5,5,5,5,7,41,5,5,8,8,8,8,8,8,8,8,8,8,8,37,37,37,5,4,37,22,3,37,5,40,5,4,4,3,22,3,22,37,7,22,7,3,5,37,5,7,37,37,4,5,4,8,4,40,3,4,3,7,3,22,3,4,5,4,4,5,4,4,22,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,3,8,8,4,8,7,7,3,8,22,3,3,3,4,8,8,8,8,8,8,37,37,37,5,4,7,22,3,7,8,40,8,4,4,5,4,3,22,7,7,22,7,3,8,37,5,7,37,37,4,5,4,3,4,40,3,4,3,7,3,22,3,4,5,4,4,5,8,4,4,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,5,8,5,4,8,7,7,3,8,22,8,5,3,22,5,5,5,8,8,8
0.58791,1.4672,1.5988,2.321,5.1546,3.1059,7.0526,4.8079,3.6701,15.099,3,3,7,3,4,4,4,4,3,3,7,3,4,4,3,4,3,3,4,7,4,7,3,3,7,3,7,7,4,4,3,4,3,4,7,3,4,3,7,3,4,3,4,3,4,4,3,4,4,4,4,4,3,7,3,4,3,3,3,7,4,4,3,3,4,4,4,3,7,7,3,3,7,4,7,3,3,3,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,37,5,4,7,22,5,3,4,40,8,4,4,5,3,3,22,37,7,3,7,5,8,18,5,7,18,37,4,8,4,4,4,40,5,37,3,37,3,3,5,4,8,4,4,5,8,18,22,4,22,5,7,8,18,5,5,3,7,4,22,8,3,22,3,3,3,18,37,8,8,7,22,4,5,5,5,4,3,5,8,5,5,5,5,5,7,18,5,5,8,8,8,8,8,8,8,8,8,8,8,37,37,37,5,4,37,22,3,37,5,40,5,4,4,3,22,3,22,37,7,22,7,3,5,37,5,7,37,37,4,5,4,8,4,40,3,4,3,7,3,22,3,4,5,4,4,5,4,4,22,22,22,5,7,8,4,8,5,5,7,22,22,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,3,8,8,4,8,7,7,3,8,22,3,3,3,4,8,8,8,8,8,8,37,37,37,5,4,7,22,3,7,8,40,8,4,4,5,4,3,22,7,7,22,7,3,8,37,5,7,37,37,4,5,4,3,4,40,3,4,3,7,3,22,3,4,5,4,4,5,8,4,4,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,5,8,5,4,8,7,7,3,8,22,8,5,3,22,5,5,5,8,8,8
0.47022,1.309,0.85488,2.496,3.4321,3.0792,5.0807,2.5135,2.9135,12.55,3,3,7,3,4,4,4,4,3,3,7,3,4,4,3,4,3,3,4,7,4,7,3,3,7,3,7,7,4,4,3,4,3,4,7,3,4,3,7,3,4,3,4,3,4,4,3,4,4,4,4,4,3,7,3,4,3,3,3,7,4,4,3,3,4,4,4,3,7,7,3,3,7,4,7,3,3,3,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,37,5,4,7,22,5,3,4,40,8,4,4,5,3,3,22,37,7,3,7,5,8,28,5,7,28,37,4,8,4,4,4,40,5,37,3,37,3,3,5,4,8,4,4,5,8,28,22,4,22,5,7,8,28,5,5,3,7,4,22,8,3,22,3,3,3,28,37,8,8,7,22,4,5,5,5,4,3,5,8,5,5,5,5,5,7,28,5,5,8,8,8,8,8,8,8,8,8,8,8,37,37,37,5,4,37,22,3,37,5,40,5,4,4,3,22,3,22,37,7,22,7,3,5,37,5,7,37,37,4,5,4,8,4,40,3,4,3,7,3,22,3,4,5,4,4,5,4,4,22,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,3,8,8,4,8,7,7,3,8,22,3,3,3,4,8,8,8,8,8,8,37,37,37,5,4,7,22,3,7,8,40,8,4,4,5,4,3,22,7,7,22,7,3,8,37,5,7,37,37,4,5,4,3,4,40,3,4,3,7,3,22,3,4,5,4,4,5,8,4,4,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,5,8,5,4,8,7,7,3,8,22,8,5,3,22,5,5,5,8,8,8
0.26728,1.455,1.1168,2.8411,4.1322,6.8338,2.3182,4.9709,3.8255,19.89,3,3,7,3,4,4,4,4,3,3,7,3,4,4,3,4,3,3,4,7,4,7,3,3,7,3,7,7,4,4,3,4,3,4,7,3,4,3,7,3,4,3,4,3,4,4,3,4,4,4,4,4,3,7,3,4,3,3,3,7,4,4,3,3,4,4,4,3,7,7,3,3,7,4,7,3,3,3,4,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,37,5,4,7,22,5,3,4,40,8,4,4,5,3,3,22,37,7,3,7,5,8,29,5,7,29,37,4,8,4,4,4,40,5,37,3,37,3,3,5,4,8,4,4,5,8,29,22,4,22,5,7,8,29,5,5,3,7,4,22,8,3,22,3,3,3,29,37,8,8,7,22,4,5,5,5,4,3,5,8,5,5,5,5,5,7,29,5,5,8,8,8,8,8,8,8,8,8,8,8,37,37,37,5,4,37,22,3,37,5,40,5,4,4,3,22,3,22,37,7,22,7,3,5,37,5,7,37,37,4,5,4,8,4,40,3,4,3,7,3,22,3,4,5,4,4,5,4,4,22,22,22,5,7,8,4,8,5,5,7,22,22,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,3,8,8,4,8,7,7,3,8,22,3,3,3,4,8,8,8,8,8,8,37,37,37,5,4,7,22,3,7,8,40,8,4,4,5,4,3,22,7,7,22,7,3,8,37,5,7,37,37,4,5,4,3,4,40,3,4,3,7,3,22,3,4,5,4,4,5,8,4,4,22,22,5,7,8,4,8,5,5,7,22,4,5,4,22,3,3,22,37,7,8,5,7,22,4,5,5,3,4,3,8,8,5,8,5,4,8,7,7,3,8,22,8,5,3,22,5,5,5,8,8,8
